Unnamed,pentru,Nr. crt.,Denumire curs apă,Denumire corp apă,Mediul de investigare,Denumire secțiune,Nr.,Denumire,Mediul de,Nr. crt,.,Unnamed_1,Denumire corp,Unnamed_2,Unnamed_3,Nume secțiune,Unnamed_4,Unnamed_5,Nr. secțiuni/corp de apă,Unnamed_6,Bazin Hidrografic,Ating obiectivul de calitate,Nu ating obiectivul de calitate,Total CA monitorizate,Total Km monitorizați,B.H.,Total CA naturale monitorizate,Subsistem,Caracter corp de apă,Total CA,Total,Mediu de investigare,Nr. corpuri de apă de suprafaţă monitorizate,Stare chimică BUNĂ,Stare chimică PROASTĂ,Nr. corpuri de apă de suprafaţă,Lungime CA ( km),Nr crt.,Denumire curs,Bazinul Hidrografic,Corpuri de apă de suprafață,BH,Denumire curs de apă / lac de acumulare,Denumire corp de apă,Cod corp de apă,Tipologie corp de apă,Denumire secțiune de prelevare probe de apă / secțiune de captare,Debit mediu prelevat în anul 2023 (mc/zi),Populaţia deservită,Principalii indicatori de calitate la care s-au înregistrat depășiri*,Populaţia,Principalii,Debit mediu,Tipologie,Cod corp de,(nr. de,Unnamed_7,Unnamed_8,Unnamed_9,Unnamed_10,Unnamed_11,Unnamed_12,Unnamed_13,RORW2-1-31-,Pârâul,am.loc.Măguri,RORW2-1-,RORW2-1-66-,Curs de,Corp de apă,Secțiune,Denumire specie,Forma de,Cod corp apă subterană,Denumire corp apă subterană,Administraţia Bazinală de Apă,Număr total de corpuri de apă subterană,Număr corpuri de apă în Stare chimică bună,Număr corpuri de apă în Stare chimică slabă,Cauzele neatingerii,Număr,Administraţia,Someş,Număr corpuri de apă subterană,Stare chimică SLABĂ,Tip folosință,Număr evacuări,Activitate economică,Volume de apă uzată evacuate (mii mc),2,"Captarea, tratarea și distribuția apei",3897.77,Condiții de oxigenare,Nutrienți,Unnamed_14,Reziduu fix,Fe total,Mn total,Indicatori chimici,Fenoli totali,Detergenți,Substanțe,Produse,Arsen,Crom total,Mercur,Nichel,Plumb,Zinc,Hexaclorcic,Benzo(b),"Benzo(g,h,i",Benzo(k),Benzo,Substante prioritar periculoase -,"1,2-","1,2,4",0,0_1,0_2,0_3,0_4,0_5,Stații de epurare existente,Statii de epurare,Trepte de epurare,Tip folosința,Nr.crt.,Activitate economica,Unnamed_15,Unnamed_16,Reziduu fix (filtrabil,Materii totale,Cupru,"1,2,3",Cloroform,Benzo[a]a,Tricloretil,Tetracloret,Stații de epurare,Alt tip*),17,8,9,Unnamed_17,Materii totale în,Cadmiu,Data poluării,Administrația,Curs de apă afectat,Agent poluator,Natura poluării,Sancțiune aplicată,Observații Măsuri,Curs de apă,Sancțiune,Observații
%,,,,,,,,,,,,%,,,,,,,,,,corpuri,corpuri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23.3%,,,,,,,,,,,,76.7%,,,,,,,,,,17,56,,,,,Râuri,Corp de apă Natural,73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55.6%,,,,,,,,,,,,44.4%,,,,,,,,,,5,4,,,,,,"Corp de Apă
Puternic Modificat",9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26.8%,,,,,,,,,,,,73.2%,,,,,,,,,,22,60,,,,,Total,,82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
%,,,,,,,,,,,,%,,,,,,,,,,"Global
(km)","Global
(km)",,,,,,,,"Global
(km)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25.4%,,,,,,,,,,,,74.6%,,,,,,,,,,1040.66,3050.65,,,,,,Râuri - CA Naturale,,4091.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42.2%,,,,,,,,,,,,57.8%,,,,,,,,,,202.87,277.60,,,,,,Râuri - CAPM,,480.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27.2%,,,,,,,,,,,,72.8%,,,,,,,,,,1243.52,3328.25,,,,,,Total (km),,4571.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
%,,,,,,,,,,,,%,,,,,,,,,,"Nr.
corpuri","Nr.
corpuri",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0%,,,,,,,,,,,,100.0%,,,,,,,,,,0,2,,,,,Lacuri,Naturale,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70.0%,,,,,,,,,,,,30.0%,,,,,,,,,,5,5,,,,,,"Acumulare - Corp
de Apă Puternic
Modificat",10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41.7%,,,,,,,,,,,,58.3%,,,,,,,,,,5,7,,,,,Total,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
%,,,,,,,,,,,,%,,,,,,,,,,,,,,,,,,,,,,"Nr. total
corpuri","Nr. total
corpuri",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93.8%,,,,,,,,,,,,6.2%,,,,,,,,,,,,,,,,,,,,Apă,81,76,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0%,,,,,,,,,,,,100.0%,,,,,,,,,,,,,,,,,,,,Apă+Biotă,4,0,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89.4%,,,,,,,,,,,,10.6%,,,,,,,,,,,,,,,,,,,,TOTAL,85,76,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
%,,,,,,,,,,,,%,,,,,,,,,,,,,,,,,,,,,,"Nr. total
corpuri","Nr. total
corpuri",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93.8%,,,,,,,,,,,,6.2%,,,,,,,,,,,,,,,,,,,,Apă,81,76,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100.0%,,,,,,,,,,,,0.0%,,,,,,,,,,,,,,,,,,,,Apă+Biotă,4,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94.1%,,,,,,,,,,,,5.9%,,,,,,,,,,,,,,,,,,,,TOTAL,85,80,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
%,,,,,,,,,,,,%,,,,,,,,,,,,,,,,,,,,,,Nr. corpuri,Nr. corpuri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93.4%,,,,,,,,,,,,6.6%,,,,,,,,,,,,,,,,,,,,Apă,,71,5,76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0%,,,,,,,,,,,,100.0%,,,,,,,,,,,,,,,,,,,,"Apă +
Biotă",,0,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88.8%,,,,,,,,,,,,11.3%,,,,,,,,,,,,,,,,,,,,TOTAL,,71,9,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
%,,,,,,,,,,,,%,,,,,,,,,,,,,,,,,,,,,,Nr. km,Nr. km,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96.8%,,,,,,,,,,,,3.2%,,,,,,,,,,,,,,,,,,,,Apă,,4029.16,132.83,,4161.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0%,,,,,,,,,,,,100.0%,,,,,,,,,,,,,,,,,,,,Apă + Biotă,,-,288.9,,288.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90.5%,,,,,,,,,,,,9.5%,,,,,,,,,,,,,,,,,,,,TOTAL,,4029.16,421.73,,4450.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
%,,,,,,,,,,,,%,,,,,,,,,,,,,,,,,,,,,,Nr. corpuri,Nr. corpuri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93.4%,,,,,,,,,,,,6.6%,,,,,,,,,,,,,,,,,,,,Apă,,71,5,76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100.0%,,,,,,,,,,,,0.0%,,,,,,,,,,,,,,,,,,,,Apă +,,4,0,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93.8%,,,,,,,,,,,,6.3%,,,,,,,,,,,,,,,,,,,,TOTAL,,75,5,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
%,,,,,,,,,,,,%,,,,,,,,,,,,,,,,,,,,,,Nr. km,Nr. km,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96.8%,,,,,,,,,,,,3.2%,,,,,,,,,,,,,,,,,,,,Apă,,4029.16,132.83,,4161.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100.0%,,,,,,,,,,,,0.0%,,,,,,,,,,,,,,,,,,,,Apă + Biotă,,288.9,-,,288.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97.0%,,,,,,,,,,,,3.0%,,,,,,,,,,,,,,,,,,,,TOTAL,,4318.06,132.83,,4450.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
%,,,,,,,,,,,,%,,,,,,,,,,,,,,,,,,,,,,Nr. corpuri,Nr. corpuri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100.0%,,,,,,,,,,,,0.0%,,,,,,,,,,,,,,,,,,,,Apă,,5,0,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0%,,,,,,,,,,,,0.0%,,,,,,,,,,,,,,,,,,,,Apă + Biotă,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100.0%,,,,,,,,,,,,0.0%,,,,,,,,,,,,,,,,,,,,TOTAL,,5,0,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Turt,Turt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Tâsla (Cisla),Cisla si afluenti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Somes (Somesul,Somesul Mare-izvoare-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,MSoamree)s (Somesul,cSfo.Fmeeldsr-iDseelj -scif .aAflpuae nStairata,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,MNaadrea)s,Nadas si afluenti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Zapodie,Zapodie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Pârâul Bailor,Piriul Bailor cu afluentul Piriul,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Lapus,RLaopsuus-cf.Suciu-cf.Cavnic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Lapus,Lapus-cf.Cavnic-cf.Somes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Cavnic,Cavnic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Sasar,Sasar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Nistru,Nistru,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Crasna,Crasna-av.ac.Varsolt-polder,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Zalau,MZaolaftuin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Crt.,corp apă,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,apă,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,,,,Călinești mijloc,,,,,,,,Tur,,,Ac. Călinești,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,,,,,Călinești baraj,,,,,,,,Tur,,,Ac. Călinești,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lacuri Acumulare,,,,,,,,,,,,Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Râuri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,,,,,,,,,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,Someș,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tisa,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,,,,,,,,,,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,TOTAL,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(nr. de
locuitori)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tisa,Izvorul Dragoș,"Vișeu-izvoare-cf.
Ruscova și
afluenți",RORW1-1-1_B1a,RO01,priza Moisei,"0 (sursă de
rezervă)",-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tisa,Valea Morii,"Vișeu-izvoare-cf.
Ruscova și
afluenți",RORW1-1-1_B1a,RO01,priza Vișeul de Jos,665.582,3100,Cu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tisa,Valea Bilei,"Vișeu-izvoare-cf.
Ruscova și
afluenți",RORW1-1-1_B1a,RO01,"priza comuna
Ruscova",37.551,198,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tisa,Socolau,"Vișeu-izvoare-cf.
Ruscova și
afluenți",RORW1-1-1_B1a,RO01,"priza Poienile de
sub Munte",1620.865,6080,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tisa,"Bălășina,
Cislisoara",Cisla și afluenti,RORW1-1-1-5_B1,RO16,priza SUP Borșa,1678.611,2100,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tisa,Iza,"Iza-izvoare-
cf.Valea Morii și
afluenti",RORW1-1-2_B1,RO01,am. Strâmtura,106.886,1330,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tisa,Bâleasa,Bâleasa,RORW1.1.2.1_B1,RO17,"am. Săliștea de
Sus",253.515,1827,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
